BEA_sector,date,v,u,U_monthly
Durable goods,2003-03-01,128,702,7628
Educational services,2003-03-01,36,134,7628
Finance and insurance,2003-03-01,145,234,7628
Government,2003-03-01,395,576,7628
Health care and social assistance,2003-03-01,552,414,7628
Information,2003-03-01,66,258,7628
Mining,2003-03-01,4,49,7628
Nondurable goods,2003-03-01,69,422,7628
"Other services, except government",2003-03-01,135,349,7628
Professional and business services,2003-03-01,659,1150,7628
Real estate and rental and leasing,2003-03-01,51,128,7628
Retail trade,2003-03-01,301,934,7628
Transportation and warehousing,2003-03-01,97,288,7628
Wholesale trade,2003-03-01,91,217,7628
Accommodation and food services,2003-10-01,372,850,7544
"Arts, entertainment, and recreation",2003-10-01,44,139,7544
Construction,2003-10-01,87,795,7544
Durable goods,2003-10-01,142,722,7544
Educational services,2003-10-01,48,129,7544
Finance and insurance,2003-10-01,172,196,7544
Government,2003-10-01,347,527,7544
Health care and social assistance,2003-10-01,579,543,7544
Information,2003-10-01,125,187,7544
Mining,2003-10-01,8,34,7544
Nondurable goods,2003-10-01,82,380,7544
"Other services, except government",2003-10-01,112,391,7544
Professional and business services,2003-10-01,597,1037,7544
Real estate and rental and leasing,2003-10-01,37,109,7544
Retail trade,2003-10-01,360,1020,7544
Transportation and warehousing,2003-10-01,94,268,7544
Wholesale trade,2003-10-01,103,217,7544
Accommodation and food services,2003-08-01,315,933,7751
"Arts, entertainment, and recreation",2003-08-01,48,142,7751
Construction,2003-08-01,108,790,7751
Durable goods,2003-08-01,145,784,7751
Educational services,2003-08-01,49,154,7751
Finance and insurance,2003-08-01,166,230,7751
Government,2003-08-01,319,596,7751
Health care and social assistance,2003-08-01,510,508,7751
Information,2003-08-01,39,222,7751
Mining,2003-08-01,5,29,7751
Nondurable goods,2003-08-01,80,456,7751
"Other services, except government",2003-08-01,122,345,7751
Professional and business services,2003-08-01,730,968,7751
Real estate and rental and leasing,2003-08-01,43,99,7751
Retail trade,2003-08-01,336,986,7751
Transportation and warehousing,2003-08-01,91,289,7751
Wholesale trade,2003-08-01,113,220,7751
Accommodation and food services,2003-11-01,368,826,7512
"Arts, entertainment, and recreation",2003-11-01,44,158,7512
Construction,2003-11-01,91,761,7512
Durable goods,2003-11-01,176,683,7512
Educational services,2003-11-01,47,156,7512
Finance and insurance,2003-11-01,186,206,7512
Government,2003-11-01,324,589,7512
Health care and social assistance,2003-11-01,539,537,7512
Information,2003-11-01,71,247,7512
Mining,2003-11-01,9,36,7512
Nondurable goods,2003-11-01,91,365,7512
"Other services, except government",2003-11-01,155,363,7512
Professional and business services,2003-11-01,614,968,7512
Real estate and rental and leasing,2003-11-01,39,113,7512
Retail trade,2003-11-01,384,972,7512
Transportation and warehousing,2003-11-01,77,295,7512
Wholesale trade,2003-11-01,124,237,7512
Accommodation and food services,2003-05-01,344,833,7929
"Arts, entertainment, and recreation",2003-05-01,34,144,7929
Construction,2003-05-01,93,851,7929
Durable goods,2003-05-01,111,815,7929
Educational services,2003-05-01,52,178,7929
Finance and insurance,2003-05-01,158,224,7929
Government,2003-05-01,338,548,7929
Health care and social assistance,2003-05-01,617,483,7929
Information,2003-05-01,50,254,7929
Mining,2003-05-01,7,43,7929
Nondurable goods,2003-05-01,91,390,7929
"Other services, except government",2003-05-01,140,366,7929
Professional and business services,2003-05-01,637,1138,7929
Real estate and rental and leasing,2003-05-01,36,93,7929
Retail trade,2003-05-01,308,1055,7929
Transportation and warehousing,2003-05-01,80,282,7929
Wholesale trade,2003-05-01,108,232,7929
Accommodation and food services,2003-07-01,289,868,7791
"Arts, entertainment, and recreation",2003-07-01,57,137,7791
Construction,2003-07-01,151,865,7791
Durable goods,2003-07-01,107,751,7791
Educational services,2003-07-01,52,133,7791
Finance and insurance,2003-07-01,156,176,7791
Government,2003-07-01,342,569,7791
Health care and social assistance,2003-07-01,524,488,7791
Information,2003-07-01,54,234,7791
Mining,2003-07-01,8,37,7791
Nondurable goods,2003-07-01,82,406,7791
"Other services, except government",2003-07-01,120,369,7791
Professional and business services,2003-07-01,709,1032,7791
Real estate and rental and leasing,2003-07-01,69,95,7791
Retail trade,2003-07-01,322,1100,7791
Transportation and warehousing,2003-07-01,89,291,7791
Wholesale trade,2003-07-01,110,240,7791
Accommodation and food services,2004-10-01,404,783,6844
"Arts, entertainment, and recreation",2004-10-01,47,126,6844
Construction,2004-10-01,159,774,6844
Durable goods,2004-10-01,184,551,6844
Educational services,2004-10-01,91,119,6844
Finance and insurance,2004-10-01,228,259,6844
Government,2004-10-01,425,592,6844
Health care and social assistance,2004-10-01,586,431,6844
Information,2004-10-01,106,188,6844
Mining,2004-10-01,9,18,6844
Nondurable goods,2004-10-01,105,378,6844
"Other services, except government",2004-10-01,169,310,6844
Professional and business services,2004-10-01,750,799,6844
Real estate and rental and leasing,2004-10-01,55,101,6844
Retail trade,2004-10-01,451,977,6844
Transportation and warehousing,2004-10-01,82,229,6844
Wholesale trade,2004-10-01,123,209,6844
Accommodation and food services,2004-06-01,417,880,7115
"Arts, entertainment, and recreation",2004-06-01,44,236,7115
